#args_tuples: [('--patience', '5'), ('test', False), ('--dropout', '0.6'), ('--seed', '0'), ('--train-tgt', None), ('--max-epoch', '1000'), ('--train-perct', '1.0'), ('--num-classes', '5'), ('--lr', '0.001'), ('--clip-grad', '5.0'), ('--save-to', 'model.bin'), ('--max-num-trial', '5'), ('--dev-src', None), ('--embed-size', '50'), ('--uniform-init', '0.1'), ('--beam-size', '5'), ('--dev-perct', '1.0'), ('--data-aug', '"None"'), ('--train-src', None), ('--cuda', True), ('--lr-decay', '0.5'), ('--input-feed', False), ('--hidden-size', '100'), ('--sample-size', '5'), ('train', True), ('MODEL_PATH', None), ('--dev-tgt', None), ('--max-decoding-time-step', '70'), ('--batch-size', '32'), ('--help', False), ('--valid-niter', '2000'), ('--log-every', '100')]
#--patience: 5
#test: False
#--dropout: 0.6
#--seed: 0
#--train-tgt: None
#--max-epoch: 1000
#--train-perct: 1.0
#--num-classes: 5
#--lr: 0.001
#--clip-grad: 5.0
#--save-to: model.bin
#--max-num-trial: 5
#--dev-src: None
#--embed-size: 50
#--uniform-init: 0.1
#--beam-size: 5
#--dev-perct: 1.0
#--data-aug: "None"
#--train-src: None
#--cuda: True
#--lr-decay: 0.5
#--input-feed: False
#--hidden-size: 100
#--sample-size: 5
#train: True
#MODEL_PATH: None
#--dev-tgt: None
#--max-decoding-time-step: 70
#--batch-size: 32
#--help: False
#--valid-niter: 2000
#--log-every: 100
#epoch, train iter, train score
1, 100, 1.59
1, 200, 1.57
2, 300, 1.54
2, 400, 1.54
2, 500, 1.52
3, 600, 1.53
3, 700, 1.51
3, 800, 1.53
4, 900, 1.50
4, 1000, 1.51
5, 1100, 1.51
5, 1200, 1.49
5, 1300, 1.50
6, 1400, 1.51
6, 1500, 1.50
6, 1600, 1.49
7, 1700, 1.49
7, 1800, 1.48
8, 1900, 1.48
8, 2000, 1.49
8, 2100, 1.48
9, 2200, 1.47
9, 2300, 1.48
9, 2400, 1.47
10, 2500, 1.45
10, 2600, 1.46
11, 2700, 1.45
11, 2800, 1.45
11, 2900, 1.46
12, 3000, 1.44
12, 3100, 1.44
12, 3200, 1.44
13, 3300, 1.41
13, 3400, 1.42
14, 3500, 1.42
14, 3600, 1.40
14, 3700, 1.39
15, 3800, 1.41
15, 3900, 1.38
15, 4000, 1.39
16, 4100, 1.35
16, 4200, 1.36
17, 4300, 1.37
17, 4400, 1.36
17, 4500, 1.36
18, 4600, 1.33
18, 4700, 1.33
18, 4800, 1.33
19, 4900, 1.29
19, 5000, 1.29
20, 5100, 1.29
20, 5200, 1.25
20, 5300, 1.28
21, 5400, 1.25
21, 5500, 1.24
21, 5600, 1.23
22, 5700, 1.22
22, 5800, 1.22
23, 5900, 1.18
23, 6000, 1.16
23, 6100, 1.19
24, 6200, 1.16
24, 6300, 1.14
24, 6400, 1.16
25, 6500, 1.11
25, 6600, 1.13
26, 6700, 1.14
26, 6800, 1.09
26, 6900, 1.09
27, 7000, 1.07
27, 7100, 1.06
27, 7200, 1.06
28, 7300, 1.02
28, 7400, 1.03
29, 7500, 1.05
29, 7600, 0.98
29, 7700, 1.00
30, 7800, 0.97
30, 7900, 1.00
30, 8000, 1.00
31, 8100, 0.96
31, 8200, 0.96
32, 8300, 0.95
32, 8400, 0.93
32, 8500, 0.95
33, 8600, 0.92
33, 8700, 0.91
33, 8800, 0.93
34, 8900, 0.89
34, 9000, 0.89
35, 9100, 0.91
35, 9200, 0.86
35, 9300, 0.89
36, 9400, 0.86
36, 9500, 0.86
36, 9600, 0.87
37, 9700, 0.84
37, 9800, 0.84
38, 9900, 0.86
38, 10000, 0.82
38, 10100, 0.82
39, 10200, 0.82
39, 10300, 0.85
39, 10400, 0.84
40, 10500, 0.81
40, 10600, 0.82
41, 10700, 0.82
41, 10800, 0.80
41, 10900, 0.81
42, 11000, 0.79
42, 11100, 0.81
42, 11200, 0.81
43, 11300, 0.80
43, 11400, 0.78
44, 11500, 0.79
44, 11600, 0.77
44, 11700, 0.78
45, 11800, 0.77
45, 11900, 0.78
45, 12000, 0.80
46, 12100, 0.76
46, 12200, 0.77
47, 12300, 0.80
47, 12400, 0.79
47, 12500, 0.78
48, 12600, 0.78
48, 12700, 0.78
48, 12800, 0.79
49, 12900, 0.77
49, 13000, 0.78
50, 13100, 0.79
50, 13200, 0.79
50, 13300, 0.75
51, 13400, 0.79
51, 13500, 0.76
51, 13600, 0.76
52, 13700, 0.78
52, 13800, 0.74
53, 13900, 0.76
53, 14000, 0.75
53, 14100, 1.36
54, 14200, 1.37
54, 14300, 1.34
54, 14400, 1.34
55, 14500, 1.32
55, 14600, 1.32
56, 14700, 1.32
56, 14800, 1.31
56, 14900, 1.32
57, 15000, 1.29
57, 15100, 1.28
57, 15200, 1.30
58, 15300, 1.26
58, 15400, 1.27
59, 15500, 1.25
59, 15600, 1.24
59, 15700, 1.24
60, 15800, 1.26
60, 15900, 1.23
60, 16000, 1.23
61, 16100, 1.23
61, 16200, 1.20
62, 16300, 1.20
62, 16400, 1.19
62, 16500, 1.18
63, 16600, 1.18
63, 16700, 1.18
63, 16800, 1.17
64, 16900, 1.15
64, 17000, 1.12
65, 17100, 1.15
65, 17200, 1.13
65, 17300, 1.12
66, 17400, 1.12
66, 17500, 1.12
66, 17600, 1.12
67, 17700, 1.08
67, 17800, 1.08
68, 17900, 1.08
68, 18000, 1.06
68, 18100, 1.07
69, 18200, 1.03
69, 18300, 1.04
69, 18400, 1.05
70, 18500, 1.02
70, 18600, 1.05
71, 18700, 1.01
71, 18800, 0.99
71, 18900, 1.00
72, 19000, 1.01
72, 19100, 0.98
72, 19200, 0.99
73, 19300, 0.97
73, 19400, 0.98
74, 19500, 0.97
74, 19600, 0.96
74, 19700, 0.98
75, 19800, 0.94
75, 19900, 0.97
75, 20000, 0.94
76, 20100, 0.92
76, 20200, 0.94
77, 20300, 0.94
77, 20400, 0.89
77, 20500, 0.90
78, 20600, 0.91
78, 20700, 0.89
78, 20800, 0.89
79, 20900, 0.91
79, 21000, 0.91
80, 21100, 0.88
80, 21200, 0.87
80, 21300, 0.88
81, 21400, 0.88
81, 21500, 0.84
81, 21600, 0.87
82, 21700, 0.85
82, 21800, 0.86
83, 21900, 0.86
83, 22000, 0.83
83, 22100, 0.86
84, 22200, 0.84
84, 22300, 0.84
84, 22400, 0.85
85, 22500, 0.82
85, 22600, 0.82
86, 22700, 0.82
86, 22800, 0.81
86, 22900, 0.82
87, 23000, 0.83
87, 23100, 0.81
87, 23200, 0.83
88, 23300, 0.81
88, 23400, 0.82
89, 23500, 0.81
89, 23600, 0.79
89, 23700, 0.82
90, 23800, 0.81
90, 23900, 0.79
90, 24000, 0.79
91, 24100, 1.37
91, 24200, 1.34
92, 24300, 1.34
92, 24400, 1.33
92, 24500, 1.32
93, 24600, 1.31
93, 24700, 1.32
93, 24800, 1.32
94, 24900, 1.29
94, 25000, 1.32
95, 25100, 1.31
95, 25200, 1.29
95, 25300, 1.30
96, 25400, 1.30
96, 25500, 1.27
96, 25600, 1.29
97, 25700, 1.27
97, 25800, 1.27
98, 25900, 1.29
98, 26000, 1.27
98, 26100, 1.25
99, 26200, 1.26
99, 26300, 1.25
99, 26400, 1.24
