#args_tuples: [('--train-perct', '1.0'), ('test', False), ('--clip-grad', '5.0'), ('--lr', '0.001'), ('--batch-size', '32'), ('--train-tgt', None), ('--max-epoch', '1000'), ('train', True), ('--max-num-trial', '5'), ('--lr-decay', '0.5'), ('--num-classes', '5'), ('--input-feed', False), ('--save-to', 'model.bin'), ('--dev-tgt', None), ('--beam-size', '5'), ('--dropout', '0.3'), ('--help', False), ('--sample-size', '5'), ('--valid-niter', '2000'), ('--patience', '5'), ('--embed-size', '50'), ('--uniform-init', '0.1'), ('MODEL_PATH', None), ('--dev-src', None), ('--max-decoding-time-step', '70'), ('--seed', '0'), ('--data-aug-nx', '4'), ('--log-every', '100'), ('--dev-perct', '1.0'), ('--data-aug-amount', '0.01'), ('--data-aug', '"None"'), ('--cuda', True), ('--train-src', None), ('--hidden-size', '100')]
#--train-perct: 1.0
#test: False
#--clip-grad: 5.0
#--lr: 0.001
#--batch-size: 32
#--train-tgt: None
#--max-epoch: 1000
#train: True
#--max-num-trial: 5
#--lr-decay: 0.5
#--num-classes: 5
#--input-feed: False
#--save-to: model.bin
#--dev-tgt: None
#--beam-size: 5
#--dropout: 0.3
#--help: False
#--sample-size: 5
#--valid-niter: 2000
#--patience: 5
#--embed-size: 50
#--uniform-init: 0.1
#MODEL_PATH: None
#--dev-src: None
#--max-decoding-time-step: 70
#--seed: 0
#--data-aug-nx: 4
#--log-every: 100
#--dev-perct: 1.0
#--data-aug-amount: 0.01
#--data-aug: "None"
#--cuda: True
#--train-src: None
#--hidden-size: 100
#epoch, train iter, train score
1, 100, 1.56
1, 200, 1.52
2, 300, 1.49
2, 400, 1.47
2, 500, 1.46
3, 600, 1.46
3, 700, 1.43
3, 800, 1.45
4, 900, 1.42
4, 1000, 1.43
5, 1100, 1.43
5, 1200, 1.39
5, 1300, 1.41
6, 1400, 1.41
6, 1500, 1.40
6, 1600, 1.38
7, 1700, 1.38
7, 1800, 1.37
8, 1900, 1.35
8, 2000, 1.35
8, 2100, 1.36
9, 2200, 1.31
9, 2300, 1.34
9, 2400, 1.33
10, 2500, 1.29
10, 2600, 1.28
11, 2700, 1.27
11, 2800, 1.24
11, 2900, 1.26
12, 3000, 1.21
12, 3100, 1.21
12, 3200, 1.19
13, 3300, 1.13
13, 3400, 1.18
14, 3500, 1.15
14, 3600, 1.09
14, 3700, 1.10
15, 3800, 1.08
15, 3900, 1.04
15, 4000, 1.05
16, 4100, 0.96
16, 4200, 1.00
17, 4300, 0.95
17, 4400, 0.92
17, 4500, 0.92
18, 4600, 0.85
18, 4700, 0.85
18, 4800, 0.87
19, 4900, 0.76
19, 5000, 0.78
20, 5100, 0.77
20, 5200, 0.70
20, 5300, 0.71
21, 5400, 0.68
21, 5500, 0.64
21, 5600, 0.68
22, 5700, 0.59
22, 5800, 0.60
23, 5900, 0.60
23, 6000, 0.55
23, 6100, 0.55
24, 6200, 0.50
24, 6300, 0.51
24, 6400, 0.53
25, 6500, 0.46
25, 6600, 0.48
26, 6700, 0.48
26, 6800, 0.42
26, 6900, 0.43
27, 7000, 0.42
27, 7100, 0.42
27, 7200, 0.43
