#args_tuples: [('--dev-perct', '1.0'), ('MODEL_PATH', None), ('--uniform-init', '0.1'), ('train', True), ('--data-aug-amount', '0.05'), ('--train-src', None), ('--dev-tgt', None), ('--sample-size', '5'), ('--input-feed', False), ('--data-aug', 'gaussian'), ('--log-every', '100'), ('--max-decoding-time-step', '70'), ('--save-to', 'model.bin'), ('--valid-niter', '2000'), ('--max-epoch', '1000'), ('--data-aug-nx', '9'), ('--beam-size', '5'), ('--cuda', True), ('--train-tgt', None), ('--num-classes', '5'), ('test', False), ('--patience', '5'), ('--dev-src', None), ('--max-num-trial', '5'), ('--batch-size', '32'), ('--embed-size', '50'), ('--seed', '0'), ('--clip-grad', '5.0'), ('--help', False), ('--lr-decay', '0.5'), ('--dropout', '0.3'), ('--lr', '0.001'), ('--train-perct', '1.0'), ('--hidden-size', '100')]
#--dev-perct: 1.0
#MODEL_PATH: None
#--uniform-init: 0.1
#train: True
#--data-aug-amount: 0.05
#--train-src: None
#--dev-tgt: None
#--sample-size: 5
#--input-feed: False
#--data-aug: gaussian
#--log-every: 100
#--max-decoding-time-step: 70
#--save-to: model.bin
#--valid-niter: 2000
#--max-epoch: 1000
#--data-aug-nx: 9
#--beam-size: 5
#--cuda: True
#--train-tgt: None
#--num-classes: 5
#test: False
#--patience: 5
#--dev-src: None
#--max-num-trial: 5
#--batch-size: 32
#--embed-size: 50
#--seed: 0
#--clip-grad: 5.0
#--help: False
#--lr-decay: 0.5
#--dropout: 0.3
#--lr: 0.001
#--train-perct: 1.0
#--hidden-size: 100
#epoch, train iter, train score
1, 100, 1.56
1, 200, 1.51
1, 300, 1.49
1, 400, 1.48
1, 500, 1.48
1, 600, 1.44
1, 700, 1.44
1, 800, 1.42
1, 900, 1.42
1, 1000, 1.42
1, 1100, 1.42
1, 1200, 1.41
1, 1300, 1.40
1, 1400, 1.41
1, 1500, 1.36
1, 1600, 1.39
1, 1700, 1.38
1, 1800, 1.36
1, 1900, 1.35
1, 2000, 1.36
1, 2100, 1.34
1, 2200, 1.34
1, 2300, 1.32
1, 2400, 1.31
1, 2500, 1.32
1, 2600, 1.30
2, 2700, 1.27
2, 2800, 1.25
2, 2900, 1.24
2, 3000, 1.21
2, 3100, 1.20
2, 3200, 1.18
2, 3300, 1.18
2, 3400, 1.16
2, 3500, 1.15
2, 3600, 1.12
2, 3700, 1.12
2, 3800, 1.10
2, 3900, 1.06
2, 4000, 1.05
2, 4100, 1.01
2, 4200, 1.00
2, 4300, 1.00
2, 4400, 0.96
2, 4500, 0.94
2, 4600, 0.95
2, 4700, 0.89
2, 4800, 0.90
2, 4900, 0.87
2, 5000, 0.83
2, 5100, 0.81
2, 5200, 0.80
2, 5300, 0.79
3, 5400, 0.71
3, 5500, 0.67
3, 5600, 0.67
3, 5700, 0.68
3, 5800, 0.64
3, 5900, 0.65
3, 6000, 0.61
3, 6100, 0.62
3, 6200, 0.59
3, 6300, 0.61
3, 6400, 0.56
3, 6500, 0.57
3, 6600, 0.54
3, 6700, 0.51
3, 6800, 0.50
3, 6900, 0.50
3, 7000, 0.48
3, 7100, 0.48
3, 7200, 0.45
3, 7300, 0.47
3, 7400, 0.45
3, 7500, 0.44
3, 7600, 0.44
3, 7700, 0.44
3, 7800, 0.43
3, 7900, 0.42
3, 8000, 0.41
4, 8100, 0.36
4, 8200, 0.38
4, 8300, 0.38
4, 8400, 0.38
4, 8500, 0.38
4, 8600, 0.35
4, 8700, 0.36
4, 8800, 0.38
4, 8900, 0.37
4, 9000, 0.36
4, 9100, 0.36
4, 9200, 0.34
4, 9300, 0.34
4, 9400, 0.35
4, 9500, 0.35
4, 9600, 0.33
4, 9700, 0.33
4, 9800, 0.34
4, 9900, 0.34
4, 10000, 0.32
4, 10100, 0.34
4, 10200, 0.34
4, 10300, 0.34
4, 10400, 0.33
4, 10500, 0.33
4, 10600, 0.34
5, 10700, 0.31
5, 10800, 0.32
5, 10900, 0.30
5, 11000, 0.30
5, 11100, 0.32
5, 11200, 0.29
5, 11300, 0.30
5, 11400, 0.29
5, 11500, 0.29
5, 11600, 0.31
5, 11700, 0.32
5, 11800, 0.30
5, 11900, 0.29
5, 12000, 0.31
5, 12100, 1.32
5, 12200, 1.31
5, 12300, 1.29
5, 12400, 1.30
5, 12500, 1.29
5, 12600, 1.28
5, 12700, 1.25
5, 12800, 1.28
5, 12900, 1.26
5, 13000, 1.23
5, 13100, 1.22
5, 13200, 1.21
5, 13300, 1.19
6, 13400, 1.18
6, 13500, 1.16
6, 13600, 1.18
6, 13700, 1.16
6, 13800, 1.13
6, 13900, 1.14
6, 14000, 1.12
6, 14100, 1.11
6, 14200, 1.11
6, 14300, 1.08
6, 14400, 1.07
6, 14500, 1.08
6, 14600, 1.08
6, 14700, 1.05
6, 14800, 1.06
6, 14900, 1.01
6, 15000, 0.98
6, 15100, 0.97
6, 15200, 0.96
6, 15300, 0.96
6, 15400, 0.98
6, 15500, 0.94
6, 15600, 0.95
6, 15700, 0.92
6, 15800, 0.91
6, 15900, 0.88
6, 16000, 0.86
7, 16100, 0.83
7, 16200, 0.83
7, 16300, 0.81
7, 16400, 0.81
7, 16500, 0.80
7, 16600, 0.80
7, 16700, 0.79
7, 16800, 0.76
7, 16900, 0.76
7, 17000, 0.73
7, 17100, 0.72
7, 17200, 0.70
7, 17300, 0.70
7, 17400, 0.71
7, 17500, 0.69
7, 17600, 0.67
7, 17700, 0.68
7, 17800, 0.65
7, 17900, 0.65
7, 18000, 0.64
7, 18100, 0.62
7, 18200, 0.59
7, 18300, 0.62
7, 18400, 0.57
7, 18500, 0.58
7, 18600, 0.56
8, 18700, 0.57
8, 18800, 0.55
8, 18900, 0.52
8, 19000, 0.52
8, 19100, 0.53
8, 19200, 0.52
8, 19300, 0.49
8, 19400, 0.49
8, 19500, 0.49
8, 19600, 0.53
8, 19700, 0.51
8, 19800, 0.49
8, 19900, 0.49
8, 20000, 0.47
8, 20100, 0.48
8, 20200, 0.46
8, 20300, 0.48
8, 20400, 0.45
8, 20500, 0.44
8, 20600, 0.42
8, 20700, 0.42
8, 20800, 0.42
8, 20900, 0.43
8, 21000, 0.43
8, 21100, 0.42
8, 21200, 0.45
8, 21300, 0.41
9, 21400, 0.41
9, 21500, 0.38
9, 21600, 0.39
9, 21700, 0.37
9, 21800, 0.39
9, 21900, 0.37
9, 22000, 0.38
9, 22100, 1.33
9, 22200, 1.31
9, 22300, 1.29
9, 22400, 1.30
9, 22500, 1.29
9, 22600, 1.28
9, 22700, 1.29
9, 22800, 1.27
9, 22900, 1.28
9, 23000, 1.26
9, 23100, 1.25
9, 23200, 1.27
9, 23300, 1.25
9, 23400, 1.24
9, 23500, 1.23
9, 23600, 1.24
9, 23700, 1.21
9, 23800, 1.23
9, 23900, 1.22
9, 24000, 1.21
10, 24100, 1.21
10, 24200, 1.18
10, 24300, 1.15
10, 24400, 1.15
10, 24500, 1.16
10, 24600, 1.16
10, 24700, 1.18
10, 24800, 1.15
10, 24900, 1.15
10, 25000, 1.13
10, 25100, 1.11
10, 25200, 1.12
10, 25300, 1.12
10, 25400, 1.10
10, 25500, 1.09
10, 25600, 1.09
10, 25700, 1.08
10, 25800, 1.08
10, 25900, 1.09
10, 26000, 1.05
10, 26100, 1.07
10, 26200, 1.07
10, 26300, 1.03
10, 26400, 1.05
10, 26500, 1.05
10, 26600, 1.04
10, 26700, 1.02
11, 26800, 0.98
11, 26900, 1.01
11, 27000, 0.99
11, 27100, 0.95
11, 27200, 0.98
11, 27300, 0.97
11, 27400, 0.98
11, 27500, 0.95
11, 27600, 0.93
11, 27700, 0.92
11, 27800, 0.92
11, 27900, 0.95
11, 28000, 0.91
11, 28100, 0.93
11, 28200, 0.89
11, 28300, 0.91
11, 28400, 0.91
11, 28500, 0.89
