#args_tuples: [('--train-src', None), ('--dev-perct', '1.0'), ('test', False), ('--dev-src', None), ('--max-num-trial', '5'), ('--train-tgt', None), ('--num-classes', '5'), ('MODEL_PATH', None), ('--save-to', 'model.bin'), ('--sample-size', '5'), ('--cuda', True), ('--seed', '0'), ('--dropout', '0.3'), ('--clip-grad', '5.0'), ('--data-aug-amount', '0.01'), ('--train-perct', '1.0'), ('--help', False), ('--valid-niter', '200'), ('train', True), ('--hidden-size', '20'), ('--max-epoch', '1000'), ('--batch-size', '32'), ('--max-decoding-time-step', '70'), ('--patience', '10'), ('--input-feed', False), ('--data-aug', '"None"'), ('--data-aug-nx', '4'), ('--lr', '0.001'), ('--embed-size', '50'), ('--lr-decay', '0.5'), ('--dev-tgt', None), ('--uniform-init', '0.1'), ('--log-every', '50'), ('--beam-size', '5')]
#--train-src: None
#--dev-perct: 1.0
#test: False
#--dev-src: None
#--max-num-trial: 5
#--train-tgt: None
#--num-classes: 5
#MODEL_PATH: None
#--save-to: model.bin
#--sample-size: 5
#--cuda: True
#--seed: 0
#--dropout: 0.3
#--clip-grad: 5.0
#--data-aug-amount: 0.01
#--train-perct: 1.0
#--help: False
#--valid-niter: 200
#train: True
#--hidden-size: 20
#--max-epoch: 1000
#--batch-size: 32
#--max-decoding-time-step: 70
#--patience: 10
#--input-feed: False
#--data-aug: "None"
#--data-aug-nx: 4
#--lr: 0.001
#--embed-size: 50
#--lr-decay: 0.5
#--dev-tgt: None
#--uniform-init: 0.1
#--log-every: 50
#--beam-size: 5
#epoch, train iter, train score
1, 50, 1.60
1, 100, 1.57
1, 150, 1.57
1, 200, 1.56
1, 250, 1.52
2, 300, 1.51
2, 350, 1.49
2, 400, 1.50
2, 450, 1.48
2, 500, 1.49
3, 550, 1.49
3, 600, 1.47
3, 650, 1.47
3, 700, 1.45
3, 750, 1.47
3, 800, 1.47
4, 850, 1.45
4, 900, 1.44
4, 950, 1.45
4, 1000, 1.45
4, 1050, 1.46
5, 1100, 1.45
5, 1150, 1.42
5, 1200, 1.43
5, 1250, 1.44
5, 1300, 1.44
6, 1350, 1.44
6, 1400, 1.43
6, 1450, 1.43
6, 1500, 1.44
6, 1550, 1.44
6, 1600, 1.42
7, 1650, 1.43
7, 1700, 1.43
7, 1750, 1.42
7, 1800, 1.41
7, 1850, 1.40
8, 1900, 1.40
8, 1950, 1.41
8, 2000, 1.40
8, 2050, 1.44
8, 2100, 1.41
9, 2150, 1.40
9, 2200, 1.40
9, 2250, 1.43
9, 2300, 1.42
9, 2350, 1.42
9, 2400, 1.40
10, 2450, 1.39
10, 2500, 1.41
10, 2550, 1.41
10, 2600, 1.37
10, 2650, 1.40
11, 2700, 1.38
11, 2750, 1.40
11, 2800, 1.36
11, 2850, 1.41
11, 2900, 1.38
12, 2950, 1.38
12, 3000, 1.39
12, 3050, 1.36
12, 3100, 1.41
12, 3150, 1.35
12, 3200, 1.38
13, 3250, 1.34
13, 3300, 1.37
13, 3350, 1.38
13, 3400, 1.39
13, 3450, 1.36
14, 3500, 1.37
14, 3550, 1.36
14, 3600, 1.37
14, 3650, 1.36
