#args_tuples: [('--dev-perct', '1.0'), ('--lr', '0.00005'), ('--data-aug-nx', '9'), ('--batch-size', '32'), ('--lr-decay', '0.5'), ('--train-perct', '1.0'), ('--num-classes', '5'), ('--train-src', None), ('--input-feed', False), ('--dropout', '0.3'), ('--hidden-size', '20'), ('--max-epoch', '1000'), ('--max-decoding-time-step', '70'), ('--dev-src', None), ('--patience', '15'), ('--beam-size', '5'), ('--uniform-init', '0.1'), ('train', True), ('--valid-niter', '1000'), ('--data-aug-amount', '0.2'), ('--embed-size', '50'), ('--data-aug', 'gaussian'), ('--train-tgt', None), ('MODEL_PATH', None), ('test', False), ('--help', False), ('--clip-grad', '5.0'), ('--seed', '0'), ('--dev-tgt', None), ('--save-to', 'model.bin'), ('--log-every', '50'), ('--sample-size', '5'), ('--max-num-trial', '5'), ('--cuda', True)]
#--dev-perct: 1.0
#--lr: 0.00005
#--data-aug-nx: 9
#--batch-size: 32
#--lr-decay: 0.5
#--train-perct: 1.0
#--num-classes: 5
#--train-src: None
#--input-feed: False
#--dropout: 0.3
#--hidden-size: 20
#--max-epoch: 1000
#--max-decoding-time-step: 70
#--dev-src: None
#--patience: 15
#--beam-size: 5
#--uniform-init: 0.1
#train: True
#--valid-niter: 1000
#--data-aug-amount: 0.2
#--embed-size: 50
#--data-aug: gaussian
#--train-tgt: None
#MODEL_PATH: None
#test: False
#--help: False
#--clip-grad: 5.0
#--seed: 0
#--dev-tgt: None
#--save-to: model.bin
#--log-every: 50
#--sample-size: 5
#--max-num-trial: 5
#--cuda: True
#epoch, train iter, train score
1, 50, 1.62
1, 100, 1.61
1, 150, 1.61
1, 200, 1.61
1, 250, 1.61
1, 300, 1.60
1, 350, 1.59
1, 400, 1.59
1, 450, 1.60
1, 500, 1.59
1, 550, 1.59
1, 600, 1.59
1, 650, 1.58
1, 700, 1.58
1, 750, 1.59
1, 800, 1.57
1, 850, 1.58
1, 900, 1.58
1, 950, 1.59
1, 1000, 1.59
1, 1050, 1.58
1, 1100, 1.57
1, 1150, 1.58
1, 1200, 1.57
1, 1250, 1.57
1, 1300, 1.58
1, 1350, 1.58
1, 1400, 1.57
1, 1450, 1.56
1, 1500, 1.56
1, 1550, 1.57
1, 1600, 1.58
1, 1650, 1.57
1, 1700, 1.58
1, 1750, 1.57
1, 1800, 1.58
1, 1850, 1.57
1, 1900, 1.57
1, 1950, 1.57
1, 2000, 1.57
1, 2050, 1.58
1, 2100, 1.57
1, 2150, 1.57
1, 2200, 1.57
1, 2250, 1.57
1, 2300, 1.57
1, 2350, 1.58
1, 2400, 1.56
1, 2450, 1.56
1, 2500, 1.56
1, 2550, 1.57
1, 2600, 1.57
1, 2650, 1.57
2, 2700, 1.55
2, 2750, 1.55
2, 2800, 1.55
2, 2850, 1.54
2, 2900, 1.54
2, 2950, 1.56
2, 3000, 1.53
2, 3050, 1.54
2, 3100, 1.53
2, 3150, 1.54
2, 3200, 1.54
2, 3250, 1.53
2, 3300, 1.54
2, 3350, 1.54
2, 3400, 1.54
2, 3450, 1.53
2, 3500, 1.55
2, 3550, 1.54
2, 3600, 1.52
2, 3650, 1.54
2, 3700, 1.52
2, 3750, 1.52
2, 3800, 1.53
2, 3850, 1.53
2, 3900, 1.53
2, 3950, 1.52
2, 4000, 1.53
2, 4050, 1.52
2, 4100, 1.53
2, 4150, 1.52
2, 4200, 1.51
2, 4250, 1.53
2, 4300, 1.52
2, 4350, 1.52
2, 4400, 1.52
2, 4450, 1.52
2, 4500, 1.53
2, 4550, 1.52
2, 4600, 1.51
2, 4650, 1.51
2, 4700, 1.53
2, 4750, 1.51
2, 4800, 1.52
2, 4850, 1.51
2, 4900, 1.51
2, 4950, 1.51
2, 5000, 1.51
2, 5050, 1.50
2, 5100, 1.52
2, 5150, 1.50
2, 5200, 1.51
2, 5250, 1.50
2, 5300, 1.51
3, 5350, 1.50
3, 5400, 1.50
3, 5450, 1.49
3, 5500, 1.49
