#args_tuples: [('train', True), ('--max-num-trial', '5'), ('--data-aug-amount', '0.01'), ('--log-every', '10'), ('--train-perct', '0.2'), ('--help', False), ('--beam-size', '5'), ('--input-feed', False), ('--patience', '5'), ('--train-src', None), ('--num-classes', '2'), ('--embed-size', '50'), ('--lr-decay', '0.5'), ('--dropout', '0.3'), ('--train-tgt', None), ('--dev-tgt', None), ('--hidden-size', '10'), ('--data-aug', '"None"'), ('--max-epoch', '30'), ('--save-to', 'model.bin'), ('--seed', '0'), ('--clip-grad', '5.0'), ('--dev-src', None), ('--max-decoding-time-step', '70'), ('--data-aug-nx', '4'), ('--sample-size', '5'), ('--dev-perct', '1.0'), ('--uniform-init', '0.1'), ('--lr', '0.001'), ('--cuda', False), ('--valid-niter', '100'), ('--batch-size', '32'), ('test', False), ('MODEL_PATH', None)]
#train: True
#--max-num-trial: 5
#--data-aug-amount: 0.01
#--log-every: 10
#--train-perct: 0.2
#--help: False
#--beam-size: 5
#--input-feed: False
#--patience: 5
#--train-src: None
#--num-classes: 2
#--embed-size: 50
#--lr-decay: 0.5
#--dropout: 0.3
#--train-tgt: None
#--dev-tgt: None
#--hidden-size: 10
#--data-aug: "None"
#--max-epoch: 30
#--save-to: model.bin
#--seed: 0
#--clip-grad: 5.0
#--dev-src: None
#--max-decoding-time-step: 70
#--data-aug-nx: 4
#--sample-size: 5
#--dev-perct: 1.0
#--uniform-init: 0.1
#--lr: 0.001
#--cuda: False
#--valid-niter: 100
#--batch-size: 32
#test: False
#MODEL_PATH: None
#epoch, train iter, train score
1, 10, 0.69
1, 20, 0.68
1, 30, 0.69
2, 40, 0.67
2, 50, 0.69
2, 60, 0.65
2, 70, 0.67
3, 80, 0.64
3, 90, 0.64
3, 100, 0.64
3, 110, 0.60
4, 120, 0.60
4, 130, 0.59
4, 140, 0.55
4, 150, 0.58
5, 160, 0.54
5, 170, 0.55
5, 180, 0.60
5, 190, 0.57
6, 200, 0.56
6, 210, 0.57
6, 220, 0.55
6, 230, 0.51
7, 240, 0.58
7, 250, 0.51
7, 260, 0.58
7, 270, 0.53
8, 280, 0.56
8, 290, 0.54
8, 300, 0.51
8, 310, 0.56
9, 320, 0.54
9, 330, 0.53
9, 340, 0.53
9, 350, 0.51
10, 360, 0.51
10, 370, 0.55
10, 380, 0.53
10, 390, 0.52
11, 400, 0.54
11, 410, 0.56
11, 420, 0.51
12, 430, 0.51
12, 440, 0.51
12, 450, 0.56
12, 460, 0.51
13, 470, 0.50
13, 480, 0.50
13, 490, 0.47
13, 500, 0.50
14, 510, 0.54
14, 520, 0.56
14, 530, 0.49
14, 540, 0.47
15, 550, 0.49
15, 560, 0.51
15, 570, 0.50
15, 580, 0.54
16, 590, 0.50
16, 600, 0.47
16, 610, 0.47
16, 620, 0.49
17, 630, 0.48
17, 640, 0.48
17, 650, 0.51
17, 660, 0.50
18, 670, 0.47
18, 680, 0.45
18, 690, 0.47
18, 700, 0.48
19, 710, 0.52
19, 720, 0.51
19, 730, 0.46
19, 740, 0.43
20, 750, 0.47
20, 760, 0.47
20, 770, 0.53
20, 780, 0.49
21, 790, 0.51
21, 800, 0.45
21, 810, 0.47
22, 820, 0.48
22, 830, 0.46
22, 840, 0.49
22, 850, 0.46
23, 860, 0.44
23, 870, 0.46
23, 880, 0.45
23, 890, 0.42
24, 900, 0.49
24, 910, 0.45
24, 920, 0.43
24, 930, 0.46
25, 940, 0.45
25, 950, 0.43
25, 960, 0.44
25, 970, 0.47
26, 980, 0.44
26, 990, 0.47
26, 1000, 0.45
26, 1010, 0.43
27, 1020, 0.41
27, 1030, 0.42
27, 1040, 0.45
27, 1050, 0.46
28, 1060, 0.49
28, 1070, 0.42
28, 1080, 0.42
28, 1090, 0.42
29, 1100, 0.45
29, 1110, 0.37
29, 1120, 0.43
29, 1130, 0.41
30, 1140, 0.44
30, 1150, 0.41
30, 1160, 0.39
30, 1170, 0.40
31, 1180, 0.34
31, 1190, 0.45
31, 1200, 0.45
32, 1210, 0.39
32, 1220, 0.41
32, 1230, 0.38
32, 1240, 0.45
33, 1250, 0.41
33, 1260, 0.42
33, 1270, 0.35
33, 1280, 0.40
34, 1290, 0.43
34, 1300, 0.38
34, 1310, 0.40
34, 1320, 0.41
35, 1330, 0.39
35, 1340, 0.37
35, 1350, 0.39
35, 1360, 0.40
36, 1370, 0.40
36, 1380, 0.38
36, 1390, 0.40
36, 1400, 0.37
37, 1410, 0.35
37, 1420, 0.35
37, 1430, 0.40
37, 1440, 0.37
38, 1450, 0.34
38, 1460, 0.39
38, 1470, 0.35
38, 1480, 0.35
39, 1490, 0.33
39, 1500, 0.36
39, 1510, 0.44
39, 1520, 0.46
40, 1530, 0.44
40, 1540, 0.40
40, 1550, 0.42
40, 1560, 0.45
41, 1570, 0.45
41, 1580, 0.45
41, 1590, 0.45
42, 1600, 0.43
42, 1610, 0.43
42, 1620, 0.41
42, 1630, 0.41
43, 1640, 0.45
43, 1650, 0.42
43, 1660, 0.38
43, 1670, 0.44
44, 1680, 0.44
44, 1690, 0.41
44, 1700, 0.42
44, 1710, 0.42
45, 1720, 0.38
45, 1730, 0.41
45, 1740, 0.39
45, 1750, 0.39
46, 1760, 0.44
46, 1770, 0.38
46, 1780, 0.45
46, 1790, 0.39
47, 1800, 0.43
47, 1810, 0.35
47, 1820, 0.44
47, 1830, 0.37
48, 1840, 0.44
48, 1850, 0.44
48, 1860, 0.40
48, 1870, 0.38
49, 1880, 0.39
49, 1890, 0.38
49, 1900, 0.37
49, 1910, 0.41
50, 1920, 0.37
50, 1930, 0.42
50, 1940, 0.43
50, 1950, 0.35
51, 1960, 0.36
51, 1970, 0.37
51, 1980, 0.39
52, 1990, 0.40
52, 2000, 0.39
52, 2010, 0.45
52, 2020, 0.41
53, 2030, 0.42
53, 2040, 0.49
53, 2050, 0.43
53, 2060, 0.41
54, 2070, 0.43
54, 2080, 0.44
54, 2090, 0.42
54, 2100, 0.44
55, 2110, 0.44
55, 2120, 0.48
55, 2130, 0.39
55, 2140, 0.38
56, 2150, 0.42
56, 2160, 0.41
56, 2170, 0.44
56, 2180, 0.43
57, 2190, 0.41
57, 2200, 0.45
57, 2210, 0.40
57, 2220, 0.39
58, 2230, 0.44
58, 2240, 0.45
58, 2250, 0.41
58, 2260, 0.40
59, 2270, 0.43
59, 2280, 0.43
59, 2290, 0.39
59, 2300, 0.41
60, 2310, 0.41
60, 2320, 0.38
60, 2330, 0.47
60, 2340, 0.41
61, 2350, 0.42
61, 2360, 0.42
61, 2370, 0.43
62, 2380, 0.40
62, 2390, 0.43
62, 2400, 0.38
62, 2410, 0.42
63, 2420, 0.43
63, 2430, 0.35
63, 2440, 0.39
63, 2450, 0.44
64, 2460, 0.46
64, 2470, 0.42
64, 2480, 0.40
64, 2490, 0.42
65, 2500, 0.38
65, 2510, 0.46
65, 2520, 0.40
65, 2530, 0.44
66, 2540, 0.44
66, 2550, 0.41
66, 2560, 0.42
66, 2570, 0.43
67, 2580, 0.40
67, 2590, 0.41
67, 2600, 0.48
67, 2610, 0.41
68, 2620, 0.39
68, 2630, 0.45
68, 2640, 0.43
68, 2650, 0.38
69, 2660, 0.48
69, 2670, 0.44
69, 2680, 0.42
69, 2690, 0.39
70, 2700, 0.42
70, 2710, 0.41
70, 2720, 0.38
70, 2730, 0.43
71, 2740, 0.45
71, 2750, 0.45
71, 2760, 0.42
72, 2770, 0.37
72, 2780, 0.40
72, 2790, 0.44
72, 2800, 0.44
73, 2810, 0.43
73, 2820, 0.42
73, 2830, 0.39
73, 2840, 0.45
74, 2850, 0.44
74, 2860, 0.42
74, 2870, 0.41
74, 2880, 0.41
75, 2890, 0.45
75, 2900, 0.39
75, 2910, 0.45
75, 2920, 0.41
76, 2930, 0.43
76, 2940, 0.41
76, 2950, 0.47
76, 2960, 0.43
77, 2970, 0.37
77, 2980, 0.49
77, 2990, 0.41
77, 3000, 0.38
78, 3010, 0.42
78, 3020, 0.43
78, 3030, 0.44
78, 3040, 0.45
79, 3050, 0.39
79, 3060, 0.45
79, 3070, 0.45
79, 3080, 0.44
80, 3090, 0.39
80, 3100, 0.44
80, 3110, 0.47
80, 3120, 0.44
81, 3130, 0.45
81, 3140, 0.44
81, 3150, 0.40
82, 3160, 0.44
82, 3170, 0.39
82, 3180, 0.41
82, 3190, 0.42
83, 3200, 0.43
83, 3210, 0.42
83, 3220, 0.38
83, 3230, 0.43
84, 3240, 0.45
84, 3250, 0.40
84, 3260, 0.37
84, 3270, 0.50
85, 3280, 0.40
85, 3290, 0.44
85, 3300, 0.41
85, 3310, 0.41
86, 3320, 0.43
86, 3330, 0.40
86, 3340, 0.44
86, 3350, 0.45
87, 3360, 0.39
87, 3370, 0.48
87, 3380, 0.40
87, 3390, 0.43
88, 3400, 0.42
88, 3410, 0.43
88, 3420, 0.44
88, 3430, 0.39
89, 3440, 0.39
89, 3450, 0.40
89, 3460, 0.41
89, 3470, 0.46
90, 3480, 0.36
90, 3490, 0.40
90, 3500, 0.44
