#args_tuples: [('--valid-niter', '200'), ('--max-num-trial', '5'), ('--lr-decay', '0.5'), ('--hidden-size', '20'), ('--lr', '0.001'), ('--train-perct', '1.0'), ('--cuda', True), ('--dev-perct', '1.0'), ('test', False), ('--data-aug-amount', '0.075'), ('--help', False), ('--data-aug', 'identity'), ('--seed', '2'), ('--dropout', '0.3'), ('--batch-size', '32'), ('--data-aug-nx', '9'), ('MODEL_PATH', None), ('--clip-grad', '5.0'), ('--max-epoch', '2500'), ('train', True), ('--save-to', 'model.bin'), ('--patience', '10'), ('--num-classes', '5'), ('--uniform-init', '0.1'), ('--embed-size', '50'), ('--log-every', '50')]
#--valid-niter: 200
#--max-num-trial: 5
#--lr-decay: 0.5
#--hidden-size: 20
#--lr: 0.001
#--train-perct: 1.0
#--cuda: True
#--dev-perct: 1.0
#test: False
#--data-aug-amount: 0.075
#--help: False
#--data-aug: identity
#--seed: 2
#--dropout: 0.3
#--batch-size: 32
#--data-aug-nx: 9
#MODEL_PATH: None
#--clip-grad: 5.0
#--max-epoch: 2500
#train: True
#--save-to: model.bin
#--patience: 10
#--num-classes: 5
#--uniform-init: 0.1
#--embed-size: 50
#--log-every: 50
#epoch, train iter, train score
1, 50, 1.59
1, 100, 1.57
1, 150, 1.56
1, 200, 1.57
1, 250, 1.56
1, 300, 1.54
1, 350, 1.56
1, 400, 1.54
1, 450, 1.54
1, 500, 1.54
1, 550, 1.54
1, 600, 1.53
1, 650, 1.53
1, 700, 1.53
1, 750, 1.53
1, 800, 1.53
1, 850, 1.54
1, 900, 1.53
1, 950, 1.50
1, 1000, 1.50
1, 1050, 1.52
1, 1100, 1.51
1, 1150, 1.50
1, 1200, 1.50
1, 1250, 1.49
1, 1300, 1.50
1, 1350, 1.49
1, 1400, 1.48
1, 1450, 1.48
1, 1500, 1.48
1, 1550, 1.48
1, 1600, 1.47
1, 1650, 1.49
1, 1700, 1.47
1, 1750, 1.48
1, 1800, 1.48
1, 1850, 1.48
1, 1900, 1.48
1, 1950, 1.48
1, 2000, 1.48
1, 2050, 1.46
1, 2100, 1.48
1, 2150, 1.48
1, 2200, 1.48
1, 2250, 1.47
1, 2300, 1.48
1, 2350, 1.45
1, 2400, 1.45
1, 2450, 1.48
1, 2500, 1.47
1, 2550, 1.46
1, 2600, 1.48
1, 2650, 1.47
2, 2700, 1.45
2, 2750, 1.45
2, 2800, 1.44
2, 2850, 1.47
2, 2900, 1.48
2, 2950, 1.46
2, 3000, 1.47
2, 3050, 1.46
2, 3100, 1.44
2, 3150, 1.46
2, 3200, 1.43
2, 3250, 1.44
2, 3300, 1.46
2, 3350, 1.46
2, 3400, 1.46
2, 3450, 1.47
2, 3500, 1.43
2, 3550, 1.45
2, 3600, 1.45
2, 3650, 1.44
2, 3700, 1.43
2, 3750, 1.42
2, 3800, 1.44
2, 3850, 1.43
2, 3900, 1.44
2, 3950, 1.42
2, 4000, 1.44
2, 4050, 1.44
2, 4100, 1.43
2, 4150, 1.43
2, 4200, 1.43
2, 4250, 1.46
2, 4300, 1.44
2, 4350, 1.43
2, 4400, 1.44
2, 4450, 1.43
2, 4500, 1.43
2, 4550, 1.43
2, 4600, 1.46
2, 4650, 1.42
2, 4700, 1.45
2, 4750, 1.42
2, 4800, 1.42
2, 4850, 1.44
2, 4900, 1.42
2, 4950, 1.40
2, 5000, 1.43
2, 5050, 1.43
2, 5100, 1.43
2, 5150, 1.41
2, 5200, 1.42
2, 5250, 1.40
2, 5300, 1.41
3, 5350, 1.43
3, 5400, 1.42
3, 5450, 1.39
3, 5500, 1.43
3, 5550, 1.40
3, 5600, 1.42
3, 5650, 1.41
3, 5700, 1.40
3, 5750, 1.41
3, 5800, 1.42
3, 5850, 1.41
3, 5900, 1.42
3, 5950, 1.39
3, 6000, 1.40
3, 6050, 1.43
3, 6100, 1.40
3, 6150, 1.41
3, 6200, 1.40
3, 6250, 1.39
3, 6300, 1.39
3, 6350, 1.41
3, 6400, 1.40
3, 6450, 1.42
3, 6500, 1.40
3, 6550, 1.40
3, 6600, 1.40
3, 6650, 1.40
3, 6700, 1.40
3, 6750, 1.38
3, 6800, 1.42
3, 6850, 1.41
3, 6900, 1.38
3, 6950, 1.37
3, 7000, 1.39
3, 7050, 1.42
3, 7100, 1.39
3, 7150, 1.40
3, 7200, 1.40
3, 7250, 1.41
3, 7300, 1.40
3, 7350, 1.36
3, 7400, 1.42
3, 7450, 1.42
3, 7500, 1.40
3, 7550, 1.39
3, 7600, 1.42
3, 7650, 1.40
3, 7700, 1.37
3, 7750, 1.40
3, 7800, 1.38
3, 7850, 1.39
3, 7900, 1.40
3, 7950, 1.41
3, 8000, 1.39
4, 8050, 1.38
4, 8100, 1.36
4, 8150, 1.41
4, 8200, 1.39
4, 8250, 1.36
4, 8300, 1.38
4, 8350, 1.39
4, 8400, 1.38
4, 8450, 1.39
4, 8500, 1.40
4, 8550, 1.39
4, 8600, 1.38
4, 8650, 1.41
4, 8700, 1.39
4, 8750, 1.37
4, 8800, 1.35
4, 8850, 1.37
4, 8900, 1.39
4, 8950, 1.41
4, 9000, 1.40
4, 9050, 1.39
4, 9100, 1.37
4, 9150, 1.37
4, 9200, 1.40
4, 9250, 1.39
4, 9300, 1.38
4, 9350, 1.37
4, 9400, 1.37
4, 9450, 1.38
4, 9500, 1.41
4, 9550, 1.38
4, 9600, 1.38
4, 9650, 1.38
4, 9700, 1.38
4, 9750, 1.41
4, 9800, 1.39
4, 9850, 1.38
4, 9900, 1.38
4, 9950, 1.37
4, 10000, 1.39
4, 10050, 1.38
4, 10100, 1.41
4, 10150, 1.38
4, 10200, 1.38
4, 10250, 1.38
4, 10300, 1.40
4, 10350, 1.38
4, 10400, 1.37
4, 10450, 1.38
4, 10500, 1.43
4, 10550, 1.39
4, 10600, 1.38
4, 10650, 1.41
5, 10700, 1.40
5, 10750, 1.41
5, 10800, 1.39
5, 10850, 1.39
5, 10900, 1.38
5, 10950, 1.40
5, 11000, 1.40
5, 11050, 1.40
5, 11100, 1.39
5, 11150, 1.38
5, 11200, 1.38
5, 11250, 1.39
5, 11300, 1.39
5, 11350, 1.39
5, 11400, 1.40
5, 11450, 1.41
5, 11500, 1.38
5, 11550, 1.40
5, 11600, 1.36
5, 11650, 1.38
5, 11700, 1.42
5, 11750, 1.38
5, 11800, 1.39
5, 11850, 1.37
5, 11900, 1.37
5, 11950, 1.37
5, 12000, 1.37
5, 12050, 1.38
5, 12100, 1.42
5, 12150, 1.37
5, 12200, 1.37
5, 12250, 1.38
5, 12300, 1.39
5, 12350, 1.39
5, 12400, 1.39
5, 12450, 1.40
5, 12500, 1.37
5, 12550, 1.38
5, 12600, 1.42
5, 12650, 1.37
5, 12700, 1.42
