#args_tuples: [('--help', False), ('--dropout', '0.3'), ('--batch-size', '32'), ('--max-num-trial', '5'), ('--clip-grad', '5.0'), ('--patience', '10'), ('MODEL_PATH', None), ('--max-epoch', '2500'), ('--data-aug-nx', '4'), ('train', True), ('--hidden-size', '20'), ('--lr-decay', '0.5'), ('--cuda', True), ('--dev-perct', '1.0'), ('--lr', '0.001'), ('--valid-niter', '200'), ('--train-perct', '1.0'), ('test', False), ('--data-aug-amount', '0.01'), ('--num-classes', '5'), ('--uniform-init', '0.1'), ('--seed', '1'), ('--embed-size', '50'), ('--save-to', 'model.bin'), ('--data-aug', '"None"'), ('--log-every', '50')]
#--help: False
#--dropout: 0.3
#--batch-size: 32
#--max-num-trial: 5
#--clip-grad: 5.0
#--patience: 10
#MODEL_PATH: None
#--max-epoch: 2500
#--data-aug-nx: 4
#train: True
#--hidden-size: 20
#--lr-decay: 0.5
#--cuda: True
#--dev-perct: 1.0
#--lr: 0.001
#--valid-niter: 200
#--train-perct: 1.0
#test: False
#--data-aug-amount: 0.01
#--num-classes: 5
#--uniform-init: 0.1
#--seed: 1
#--embed-size: 50
#--save-to: model.bin
#--data-aug: "None"
#--log-every: 50
#epoch, train iter, train score
1, 50, 1.60
1, 100, 1.58
1, 150, 1.57
1, 200, 1.54
1, 250, 1.52
2, 300, 1.51
2, 350, 1.50
2, 400, 1.51
2, 450, 1.49
2, 500, 1.48
3, 550, 1.48
3, 600, 1.46
3, 650, 1.47
3, 700, 1.47
3, 750, 1.46
3, 800, 1.45
4, 850, 1.45
4, 900, 1.44
4, 950, 1.44
4, 1000, 1.45
4, 1050, 1.46
5, 1100, 1.45
5, 1150, 1.46
5, 1200, 1.42
5, 1250, 1.42
5, 1300, 1.45
6, 1350, 1.43
6, 1400, 1.45
6, 1450, 1.42
6, 1500, 1.45
6, 1550, 1.40
6, 1600, 1.44
7, 1650, 1.42
7, 1700, 1.43
7, 1750, 1.42
7, 1800, 1.40
7, 1850, 1.42
8, 1900, 1.41
8, 1950, 1.41
8, 2000, 1.41
8, 2050, 1.41
8, 2100, 1.42
9, 2150, 1.40
9, 2200, 1.39
9, 2250, 1.39
9, 2300, 1.40
9, 2350, 1.41
9, 2400, 1.40
10, 2450, 1.40
10, 2500, 1.39
10, 2550, 1.38
10, 2600, 1.38
10, 2650, 1.40
11, 2700, 1.41
11, 2750, 1.36
11, 2800, 1.40
11, 2850, 1.39
